Time	InhDendSyn0	InhDendSyn1	InhSomaSyn0	ExcSyn0	ExcSyn1	ExcSyn2
1011.58	0.000000	0.000000	0.000000	-0.437434	-0.419608	-0.407602
1012.48	0.000000	0.000000	0.000000	-0.421147	-0.404638	-0.393054
1013.39	0.000000	0.000000	0.000000	-0.405363	-0.390097	-0.379015
1014.29	0.000000	0.000000	0.000000	-0.390094	-0.375997	-0.365481
1015.19	0.000000	0.000000	0.000000	-0.375345	-0.362345	-0.352445
1016.1	0.000000	0.000000	0.000000	-0.361115	-0.349144	-0.339895
1017	0.000000	0.000000	0.000000	-0.347401	-0.336391	-0.327817
1017.9	0.000000	0.000000	0.000000	-0.334192	-0.324080	-0.316197
1018.81	0.000000	0.000000	0.000000	-0.321478	-0.312205	-0.305020
1019.71	0.000000	0.000000	0.000000	-0.309247	-0.300755	-0.294269
1020.61	0.000000	0.000000	0.000000	-0.297484	-0.289721	-0.283928
1021.52	0.000000	0.000000	0.000000	-0.286173	-0.279091	-0.273981
1022.42	0.000000	0.000000	0.000000	-0.275300	-0.268853	-0.264411
1023.32	0.000000	0.000000	0.000000	-0.264848	-0.258994	-0.255203
1024.23	0.000000	0.000000	0.000000	-0.254803	-0.249500	-0.246342
1025.13	0.000000	0.000000	0.000000	-0.245149	-0.240361	-0.237813
1026.03	0.000000	0.000000	0.000000	-0.235871	-0.231562	-0.229602
1026.94	0.000000	0.000000	0.000000	-0.226952	-0.223093	-0.221696
1027.84	0.000000	0.000000	0.000000	-0.218381	-0.214940	-0.214081
1028.74	0.000000	0.000000	0.000000	-0.216290	-0.212950	-0.212221
1029.65	0.000000	0.000000	0.000000	-0.214220	-0.210978	-0.210379
1030.55	0.000000	0.000000	0.000000	-0.212170	-0.209026	-0.208554
1031.45	0.000000	0.000000	0.000000	-0.210141	-0.207091	-0.206745
1032.36	0.000000	0.000000	0.000000	-0.208131	-0.205176	-0.204954
1033.26	0.000000	0.000000	0.000000	-0.206141	-0.203278	-0.203179
1034.16	0.000000	0.000000	0.000000	-0.204170	-0.201398	-0.201420
1035.06	0.000000	0.000000	0.000000	-0.201072	-0.198442	-0.198654
1035.97	0.000000	0.000000	0.000000	-0.198022	-0.195530	-0.195928
1036.87	0.000000	0.000000	0.000000	-0.195019	-0.192662	-0.193241
1037.77	0.000000	0.000000	0.000000	-0.192063	-0.189837	-0.190594
1038.68	0.000000	0.000000	0.000000	-0.189151	-0.187053	-0.187985
1039.58	0.000000	0.000000	0.000000	-0.186285	-0.184311	-0.185414
1040.48	0.000000	0.000000	0.000000	-0.183462	-0.181610	-0.182880
1041.39	0.000000	0.000000	0.000000	-0.180683	-0.178949	-0.180382
1042.29	0.000000	0.000000	0.000000	-0.177946	-0.176327	-0.177920
1043.19	0.000000	0.000000	0.000000	-0.175250	-0.173745	-0.175493
1044.1	0.000000	0.000000	0.000000	-0.172596	-0.171200	-0.173101
1045	0.000000	0.000000	0.000000	-0.169982	-0.168693	-0.170743
1045.9	0.000000	0.000000	0.000000	-0.167407	-0.166223	-0.168419
1046.81	0.000000	0.000000	0.000000	-0.164871	-0.163790	-0.166128
1047.71	0.000000	0.000000	0.000000	-0.162373	-0.161392	-0.163869
1048.61	0.000000	0.000000	0.000000	-0.159913	-0.159029	-0.161642
1049.52	0.000000	0.000000	0.000000	-0.157490	-0.156701	-0.159446
1050.42	0.000000	0.000000	0.000000	-0.155103	-0.154406	-0.157282
1051.32	0.000000	0.000000	0.000000	-0.151047	-0.150507	-0.153600
1052.23	0.000000	0.000000	0.000000	-0.147094	-0.146705	-0.150007
1053.13	0.000000	0.000000	0.000000	-0.143240	-0.142997	-0.146501
1054.03	0.000000	0.000000	0.000000	-0.139483	-0.139381	-0.143079
1054.94	0.000000	0.000000	0.000000	-0.135819	-0.135854	-0.139739
1055.84	0.000000	0.000000	0.000000	-0.132245	-0.132413	-0.136479
1056.74	0.000000	0.000000	0.000000	-0.128756	-0.129054	-0.133297
1057.64	0.000000	0.000000	0.000000	-0.127079	-0.127440	-0.131767
1058.55	0.000000	0.000000	0.000000	-0.125420	-0.125844	-0.130254
1059.45	0.000000	0.000000	0.000000	-0.123781	-0.124267	-0.128760
1060.35	0.000000	0.000000	0.000000	-0.122159	-0.122707	-0.127282
1061.26	0.000000	0.000000	0.000000	-0.120554	-0.121166	-0.125823
1062.16	0.000000	0.000000	0.000000	-0.118966	-0.119641	-0.124380
1063.06	0.000000	0.000000	0.000000	-0.117394	-0.118133	-0.122953
1063.97	0.000000	0.000000	0.000000	-0.115837	-0.116642	-0.121544
1064.87	0.000000	0.000000	0.000000	-0.115449	-0.116271	-0.121194
1065.77	0.000000	0.000000	0.000000	-0.115063	-0.115902	-0.120845
